# v1.1.3
# ./Infomap graphINT.txt . --clu --ftree --tree
# started at 2020-05-15 22:20:24
# completed in 1.06031 s
# partitioned into 3 levels with 209 top modules
# codelength 6.2394 bits
# relative codelength savings 26.7533%
# module level: 1
# node_id module flow
1 1 0.0377216
61 1 0.0179789
88 1 0.00921919
506 1 0.00357206
373 1 0.0030533
622 1 0.00251971
588 1 0.00238632
18 1 0.00225292
83 1 0.00195648
602 1 0.00180826
503 1 0.00145254
878 1 0.0014229
6 1 0.00136361
280 1 0.00134879
552 1 0.00121539
2 1 0.00120057
183 1 0.00118575
234 1 0.00117093
145 1 0.00111164
468 1 0.00108199
898 1 0.00096342
99 1 0.000933776
1054 1 0.000815201
796 1 0.000755914
1020 1 0.000741092
43 1 0.00072627
187 1 0.000711448
432 1 0.000666983
109 1 0.000652161
845 1 0.000607696
433 1 0.000578052
140 1 0.000533586
492 1 0.000533586
182 1 0.000518764
800 1 0.000503943
874 1 0.000503943
359 1 0.000474299
455 1 0.000459477
913 1 0.000459477
221 1 0.000444655
1022 1 0.000444655
82 1 0.000444655
582 1 0.000444655
755 1 0.000415012
856 1 0.000415012
112 1 0.00040019
541 1 0.000385368
890 1 0.000385368
223 1 0.000370546
887 1 0.000370546
65 1 0.000355724
233 1 0.000355724
1012 1 0.000355724
396 1 0.000340902
1113 1 0.000340902
239 1 0.000340902
279 1 0.000326081
694 1 0.000311259
467 1 0.000296437
683 1 0.000281615
961 1 0.000266793
91 1 0.000266793
910 1 0.000266793
779 1 0.000251971
722 1 0.000251971
394 1 0.000251971
792 1 0.000251971
327 1 0.000251971
437 1 0.000251971
1090 1 0.000237149
760 1 0.000237149
611 1 0.000237149
980 1 0.000237149
1056 1 0.000237149
877 1 0.000222328
775 1 0.000222328
831 1 0.000222328
328 1 0.000222328
784 1 0.000207506
559 1 0.000207506
710 1 0.000207506
501 1 0.000207506
553 1 0.000207506
664 1 0.000207506
962 1 0.000192684
632 1 0.000192684
721 1 0.000192684
972 1 0.000192684
635 1 0.000177862
441 1 0.000177862
662 1 0.000177862
575 1 0.000177862
1040 1 0.000177862
989 1 0.000177862
1067 1 0.000177862
1066 1 0.000177862
87 1 0.000177862
781 1 0.000177862
1013 1 0.000177862
472 1 0.000177862
811 1 0.000177862
623 1 0.000177862
449 1 0.000177862
629 1 0.00016304
304 1 0.00016304
1134 1 0.00016304
1046 1 0.00016304
220 1 0.00016304
196 1 0.00016304
806 1 0.00016304
903 1 0.000148218
866 1 0.000148218
1006 1 0.000148218
782 1 0.000148218
956 1 0.000148218
540 1 0.000148218
475 1 0.000148218
362 1 0.000148218
190 1 0.000148218
960 1 0.000133397
1033 1 0.000133397
837 1 8.8931e-05
1018 1 7.41092e-05
773 1 7.41092e-05
1141 1 7.41092e-05
902 1 2.96437e-05
1115 1 1.48218e-05
1156 1 1.48218e-05
25 2 0.086441
586 2 0.000415012
523 2 0.000415012
614 2 0.000251971
768 2 0.00016304
615 2 0.000118575
747 2 0.000118575
519 2 8.8931e-05
828 2 8.8931e-05
631 2 7.41092e-05
426 2 5.92874e-05
483 2 5.92874e-05
1132 2 5.92874e-05
40 3 0.0100047
101 3 0.0061066
232 3 0.00518764
392 3 0.00326081
529 3 0.00312741
159 3 0.00311259
242 3 0.0029199
10 3 0.00259382
331 3 0.002579
127 3 0.00143772
404 3 0.00131914
42 3 0.000741092
561 3 0.000666983
530 3 0.000592874
606 3 0.000592874
14 3 0.000533586
376 3 0.000533586
423 3 0.000474299
1122 3 0.000429833
714 3 0.00040019
625 3 0.000385368
894 3 0.000355724
39 3 0.000326081
560 3 0.000296437
222 3 0.000296437
854 3 0.000281615
867 3 0.000251971
780 3 0.000207506
1017 3 0.000207506
1031 3 0.000207506
643 3 0.000177862
1063 3 0.00016304
973 3 0.000133397
1076 3 0.000133397
1105 3 0.000133397
764 3 0.000118575
630 3 0.000103753
1015 3 0.000103753
125 3 0.000103753
967 3 0.000103753
1005 3 8.8931e-05
1078 3 8.8931e-05
